2021-05-03 03:07:51,888: 	 --> [INFO] 	 Chosen country: CZE
2021-05-03 03:07:51,889: 	 --> [INFO] 	 Chosen country years limits: 2000 - 2019
2021-05-03 03:07:51,890: 	 --> [DEBUG] 	 In 1990 there's an empty value for CZE
2021-05-03 03:07:51,890: 	 --> [DEBUG] 	 In 1991 there's an empty value for CZE
2021-05-03 03:07:51,890: 	 --> [DEBUG] 	 In 1992 there's an empty value for CZE
2021-05-03 03:07:51,890: 	 --> [DEBUG] 	 In 1993 there's an empty value for CZE
2021-05-03 03:07:51,891: 	 --> [DEBUG] 	 In 1994 there's an empty value for CZE
2021-05-03 03:07:51,891: 	 --> [DEBUG] 	 In 1995 there's an empty value for CZE
2021-05-03 03:07:51,891: 	 --> [DEBUG] 	 In 1996 there's an empty value for CZE
2021-05-03 03:07:51,892: 	 --> [DEBUG] 	 In 1997 there's an empty value for CZE
2021-05-03 03:07:51,892: 	 --> [DEBUG] 	 In 1998 there's an empty value for CZE
2021-05-03 03:07:51,892: 	 --> [DEBUG] 	 In 1999 there's an empty value for CZE
2021-05-03 03:07:51,921: 	 --> [DEBUG] 	 In 2020 there's an empty value for CZE
2021-05-03 03:07:51,922: 	 --> [INFO] 	 Chosen country: LUX
2021-05-03 03:07:51,923: 	 --> [INFO] 	 Chosen country years limits: 2000 - 2019
2021-05-03 03:07:51,923: 	 --> [DEBUG] 	 In 1990 there's an empty value for LUX
2021-05-03 03:07:51,923: 	 --> [DEBUG] 	 In 1991 there's an empty value for LUX
2021-05-03 03:07:51,923: 	 --> [DEBUG] 	 In 1992 there's an empty value for LUX
2021-05-03 03:07:51,924: 	 --> [DEBUG] 	 In 1993 there's an empty value for LUX
2021-05-03 03:07:51,924: 	 --> [DEBUG] 	 In 1994 there's an empty value for LUX
2021-05-03 03:07:51,924: 	 --> [DEBUG] 	 In 1995 there's an empty value for LUX
2021-05-03 03:07:51,924: 	 --> [DEBUG] 	 In 1996 there's an empty value for LUX
2021-05-03 03:07:51,924: 	 --> [DEBUG] 	 In 1997 there's an empty value for LUX
2021-05-03 03:07:51,924: 	 --> [DEBUG] 	 In 1998 there's an empty value for LUX
2021-05-03 03:07:51,925: 	 --> [DEBUG] 	 In 1999 there's an empty value for LUX
2021-05-03 03:07:51,950: 	 --> [DEBUG] 	 In 2020 there's an empty value for LUX
2021-05-03 03:07:51,951: 	 --> [INFO] 	 Chosen country: TWN
2021-05-03 03:07:51,952: 	 --> [INFO] 	 Chosen country years limits: 2000 - 2019
2021-05-03 03:07:51,952: 	 --> [DEBUG] 	 In 1990 there's an empty value for TWN
2021-05-03 03:07:51,952: 	 --> [DEBUG] 	 In 1991 there's an empty value for TWN
